method,distance_m,base_date,target_date,horizon_days,base_bed_elevation_m,central_daily_rate_m,central_bed_elevation_m,central_change_m,scenario_1_bed_elevation_m,scenario_2_bed_elevation_m,sensitivity_lower_bed_elevation_m,sensitivity_upper_bed_elevation_m
linear,1965.0,2023-02-26,2033-02-26,3653,39.80909090909091,0.00019067796610169546,40.505637519260404,0.6965466101694935,44.30536006617902,36.83257239057241,36.83257239057241,44.30536006617902
linear,1970.0,2023-02-26,2033-02-26,3653,39.68181818181819,0.0001853698164765018,40.358974121406845,0.6771559395886612,44.60517630667732,36.25431200897872,36.25431200897872,44.60517630667732
linear,1975.0,2023-02-26,2033-02-26,3653,39.59090909090909,0.00017798456482404507,40.24108670621133,0.6501776153022366,44.925919232896845,35.71241526374867,35.71241526374867,44.925919232896845
linear,1980.0,2023-02-26,2033-02-26,3653,39.5,0.00015952143569290995,40.0827318045862,0.5827318045862001,45.24666215911647,35.090932461873614,35.090932461873614,45.24666215911647
linear,1985.0,2023-02-26,2033-02-26,3653,39.45,9.674679664708804e-05,39.80341604815182,0.3534160481518126,45.60831417624518,34.19201452432823,34.19201452432823,45.60831417624518
linear,1990.0,2023-02-26,2033-02-26,3653,39.4,2.0494073335543652e-05,39.474864849894736,0.07486484989474096,45.14666215911647,33.992127450980405,33.992127450980405,45.14666215911647
linear,1995.0,2023-02-26,2033-02-26,3653,39.4,-3.1433477345752114e-05,39.28517350725597,-0.11482649274403248,44.73501014198775,34.016998093681906,34.016998093681906,44.73501014198775
linear,2000.0,2023-02-26,2033-02-26,3653,39.4,-0.00017198404785643485,38.77174227318044,-0.6282577268195565,44.32335812485913,33.40518028322437,33.40518028322437,44.32335812485913
linear,2005.0,2023-02-26,2033-02-26,3653,39.4,-0.0003679240057604962,38.055973606956904,-1.3440263930430927,43.66471489745323,32.634190359477124,32.634190359477124,43.66471489745323
linear,2010.0,2023-02-26,2033-02-26,3653,39.4,-0.0005527860861858925,37.380672427162935,-2.0193275728370654,43.08840207347299,31.863200435729876,31.863200435729876,43.08840207347299
linear,2015.0,2023-02-26,2033-02-26,3653,39.3,-0.0007996842804918397,36.378753323363306,-2.9212466766366902,42.57675005634438,30.387356481481604,30.387356481481604,42.57675005634438
linear,2020.0,2023-02-26,2033-02-26,3653,39.2,-0.0012504154204054372,34.63223246925894,-4.567767530741062,41.48878521523553,28.004231481481572,28.004231481481572,41.48878521523553
linear,2025.0,2023-02-26,2033-02-26,3653,39.05,-0.0019891713747645923,31.783556967984943,-7.266443032015055,38.21022988505744,25.57110648148153,25.57110648148153,38.21022988505744
linear,2030.0,2023-02-26,2033-02-26,3653,38.9,-0.0026063476237952786,29.379012130275846,-9.520987869724152,35.590317782285254,23.374750000000084,23.374750000000084,35.590317782285254
linear,2035.0,2023-02-26,2033-02-26,3653,38.66923076923077,-0.003133546890193608,27.222383979353523,-11.44684678987725,32.88963644874394,21.74403992560945,21.74403992560945,32.88963644874394
linear,2040.0,2023-02-26,2033-02-26,3653,38.43846153846154,-0.003218716171174585,26.68049136516078,-11.757970173300759,32.26888109648435,21.27838129154799,21.27838129154799,32.26888109648435
linear,2045.0,2023-02-26,2033-02-26,3653,38.300000000000004,-0.0029935022742040253,27.3647361923327,-10.935263807667305,33.959714458560114,20.989590534979534,20.989590534979534,33.959714458560114
linear,2050.0,2023-02-26,2033-02-26,3653,38.300000000000004,-0.002664045550159129,28.568241605268703,-9.7317583947313,36.21383424077436,21.177502057613236,21.177502057613236,36.21383424077436
