model,shift,distance_m,base_bed_elevation_m,forecast_2033_bed_elevation_m,ten_year_change_m,development_coefficient_a,abs_a_lt_0_3,level_ratio_pass,in_sample_mae
raw_interval,1.5,2030.0,38.9,60.08398722247661,21.183987222476606,-0.1303518391781735,True,False,0.49672811669045625
raw_interval,1.5,2035.0,38.63377772443078,54.68784606546971,16.054068341038928,-0.11196589193556179,True,False,0.5405859093388838
raw_interval,1.5,2040.0,38.36192232227427,57.276126337250666,18.9142040149764,-0.12383015474438387,True,False,0.5523517994251341
raw_interval,1.5,2045.0,38.300000000000004,71.99213023674436,33.692130236744354,-0.19500146163001345,True,False,0.3146968997618904
raw_interval,1.5,2050.0,38.300000000000004,600.6674957332225,562.3674957332225,-0.5456335309965434,False,False,0.1188922026010999
raw_interval,2.0,1820.0,42.04196616541354,631.8249642125064,589.7829980470929,-0.44770400271565497,False,False,0.11360942749649694
raw_interval,2.0,1825.0,41.90878399122808,495.01261170189775,453.1038277106697,-0.41675062867260465,False,False,0.06710051351001745
raw_interval,2.0,1830.0,41.800030075187976,377.184326003795,335.384295928607,-0.381219334010369,False,False,0.02813344828827824
raw_interval,2.0,1835.0,41.72498543233083,338.71722701275036,296.99224158041955,-0.36814224658137845,False,False,0.028113092594260314
raw_interval,2.0,1840.0,41.69012812011664,319.7677837167982,278.07765559668155,-0.3612431601706246,False,False,0.03076863112461159
raw_interval,2.0,1845.0,41.67297212636734,291.0987172766939,249.42574515032655,-0.3481164836886291,False,False,0.044606497185317284
raw_interval,2.0,1850.0,41.65968786428882,288.4414266074937,246.7817387432049,-0.3469785454763782,False,False,0.0452200363903692
raw_interval,2.0,1855.0,41.642288414447506,288.69200883446,247.04972042001248,-0.347123439474244,False,False,0.04500243151522332
raw_interval,2.0,1860.0,41.621377362641574,283.6768125694958,242.05543520685418,-0.3443951611945753,False,False,0.049134309605020965
raw_interval,2.0,1865.0,41.6,261.74503404263993,220.14503404263994,-0.33434897042871276,False,False,0.06012031494039749
raw_interval,2.0,1870.0,41.579166666666666,244.21024325529373,202.63107658862708,-0.3276904590580446,False,False,0.05103604790381211
raw_interval,2.0,1875.0,41.55833333333334,231.07582663805425,189.51749330472092,-0.31946792710646343,False,False,0.07006576719717161
raw_interval,2.0,1880.0,41.53515625,224.14481953185307,182.60966328185307,-0.31199787984056515,False,False,0.10875632761920961
raw_interval,2.0,1885.0,41.50925925925927,235.60089609916824,194.09163683990897,-0.3186735031662108,False,False,0.09832237774695529
raw_interval,2.0,1890.0,41.5,239.0182652278356,197.5182652278356,-0.32099154192954815,False,False,0.09153724566375876
raw_interval,2.0,1895.0,41.5,247.98391402755715,206.48391402755715,-0.3267597642950396,False,False,0.07566132118244995
raw_interval,2.0,1900.0,41.5,254.51552745155888,213.01552745155888,-0.33070872596350487,False,False,0.06564640170872171
raw_interval,2.0,1905.0,41.48900067552012,250.54741811521492,209.0584174396948,-0.3275988822392778,False,False,0.0785042122313907
raw_interval,2.0,1910.0,41.46018235253434,244.53539750740268,203.07521515486835,-0.32285569003223663,False,False,0.09812950912368101
raw_interval,2.0,1915.0,41.43925559359996,237.35118552566345,195.9119299320635,-0.3171732067942762,False,False,0.12125568176232693
raw_interval,2.0,1920.0,41.423032546285256,226.8180414232392,185.39500887695394,-0.30920029103956437,False,False,0.15035051957995327
raw_interval,2.0,1925.0,41.383644762335045,216.9843359134944,175.60069115115934,-0.30249979594859994,False,False,0.16813051230412102
raw_interval,2.0,1930.0,41.123250764839916,213.21054207121531,172.0872913063754,-0.30024853834306964,False,False,0.1723381921622842
raw_interval,2.0,1935.0,40.800000000000004,216.2478923304638,175.4478923304638,-0.30257016327723213,False,False,0.16658060645653827
raw_interval,2.0,1940.0,40.550389846764496,211.63324479357127,171.08285494680678,-0.2994259619994596,True,False,0.1753406006371685
raw_interval,2.0,1945.0,40.33431950215053,205.94003120739583,165.6057117052453,-0.29584458211826176,True,False,0.1817794059400426
raw_interval,2.0,1950.0,40.18783526435339,198.1566007588891,157.96876549453572,-0.2901554325075121,True,False,0.19654086300196494
raw_interval,2.0,1955.0,40.07270266460046,194.95620381280577,154.8835011482053,-0.2878724268283094,True,False,0.20180824860204316
raw_interval,2.0,1960.0,39.945397244673764,187.12242086445286,147.1770236197791,-0.28131045302277785,True,False,0.2228169244869702
raw_interval,2.0,1965.0,39.80133779511371,176.52360304471395,136.72226524960024,-0.2721170956980904,True,False,0.251088497847336
raw_interval,2.0,1970.0,39.67837178364891,164.65324879754854,124.97487701389963,-0.2609935685493118,True,False,0.2861862887920277
raw_interval,2.0,1975.0,39.57846070072168,157.0252021619748,117.4467414612531,-0.2536314930278494,True,False,0.3076241505057027
raw_interval,2.0,1980.0,39.5,154.30612787826607,114.80612787826608,-0.25091776202627064,True,False,0.31588979423330654
raw_interval,2.0,1985.0,39.433944954128435,155.50147505925565,116.06753010512723,-0.2512925507971194,True,False,0.32298018806596085
raw_interval,2.0,1990.0,39.4,155.78582084755004,116.38582084755005,-0.25046170052805655,True,False,0.3359078808580169
raw_interval,2.0,1995.0,39.4,153.37647683716565,113.97647683716565,-0.24787270160147842,True,False,0.3448416739034881
raw_interval,2.0,2000.0,39.4,138.57637888623805,99.17637888623804,-0.23394729886930007,True,False,0.3656874399260821
raw_interval,2.0,2005.0,39.4,124.25042292673163,84.85042292673164,-0.218065440465391,True,False,0.39562287883349345
raw_interval,2.0,2010.0,39.4,122.5601048814585,83.1601048814585,-0.21584553980568227,True,False,0.40196499619501935
raw_interval,2.0,2015.0,39.33,125.987656043946,86.657656043946,-0.22012976300243792,True,False,0.3911666936909235
raw_interval,2.0,2020.0,39.2,121.60604329590436,82.40604329590435,-0.21668072173507383,True,False,0.3716055108695091
raw_interval,2.0,2025.0,39.06503916449087,83.91766068380615,44.85262151931528,-0.16347627366647863,True,False,0.4154345683850771
raw_interval,2.0,2030.0,38.9,59.07091057136081,20.170910571360814,-0.10463848072625151,True,False,0.4955423719936367
raw_interval,2.0,2035.0,38.63377772443078,54.386920374254764,15.753142649823987,-0.09021969927067139,True,False,0.5397137134899039
raw_interval,2.0,2040.0,38.36192232227427,56.71604316193468,18.354120839660407,-0.09993548387440669,True,False,0.5512642337703122
raw_interval,2.0,2045.0,38.300000000000004,65.94119495714219,27.641194957142176,-0.1472260996065808,True,False,0.3121749482252123
raw_interval,2.0,2050.0,38.300000000000004,144.7745721609613,106.4745721609613,-0.308234420080058,False,False,0.11623163287307148
raw_interval,3.0,1820.0,42.04196616541354,242.301628520412,200.25966235499848,-0.2822867535213449,True,True,0.12156627965611033
raw_interval,3.0,1825.0,41.90878399122808,215.463287977321,173.55450398609293,-0.266252649928341,True,True,0.07646155241293329
raw_interval,3.0,1830.0,41.800030075187976,189.14708256105297,147.347052485865,-0.2478039652615261,True,True,0.017748566439914626
raw_interval,3.0,1835.0,41.72498543233083,177.6786250944711,135.95363966214026,-0.23975008269519996,True,True,0.014348641091429748
raw_interval,3.0,1840.0,41.69012812011664,171.60397369561954,129.9138455755029,-0.23533784598579385,True,True,0.013460543700749117
