model,shift,year,distance_m,annual_change_m,cumulative_change_m,bed_elevation_m
annualized,5.0,2028,1920.0,9.340247170253441,26.526976421175696,67.95000896746095
annualized,5.0,2029,1920.0,12.195344521024879,38.722320942200575,80.14535348848582
annualized,5.0,2030,1920.0,15.618882623591048,54.34120356579162,95.76423611207687
annualized,5.0,2031,1920.0,19.72403621373249,74.06523977952412,115.48827232580938
annualized,5.0,2032,1920.0,24.646512755185086,98.7117525347092,140.13478508099445
annualized,5.0,2033,1920.0,30.549038633715355,129.26079116842456,170.68382371470983
annualized,5.0,2023,1925.0,0.0,0.0,41.383644762335045
annualized,5.0,2024,1925.0,1.9441762705015009,1.9441762705015009,43.327821032836546
annualized,5.0,2025,1925.0,3.2974050682013747,5.241581338702876,46.625226101037924
annualized,5.0,2026,1925.0,4.914340907253745,10.15592224595662,51.53956700829167
annualized,5.0,2027,1925.0,6.846373030761569,17.00229527671819,58.38594003905324
annualized,5.0,2028,1925.0,9.154905030679231,26.15720030739742,67.54084506973247
annualized,5.0,2029,1925.0,11.913306368731469,38.070506676128886,79.45415143846392
